Date,MDividends
3/1/1993,0.74
4/1/1993,0.43
5/1/1993,0.41
6/1/1993,0.54
7/1/1993,0.7
8/1/1993,1.14
9/1/1993,0.64
10/1/1993,0.3
11/1/1993,2.48
12/1/1993,4.9
1/1/1994,1.35
2/1/1994,0.8
3/1/1994,0.56
4/1/1994,0.51
5/1/1994,0.39
6/1/1994,0.49
7/1/1994,0.38
8/1/1994,0.84
9/1/1994,0.75
10/1/1994,0.56
11/1/1994,1.76
12/1/1994,5.1
1/1/1995,3.46
2/1/1995,1.25
3/1/1995,0.81
4/1/1995,0.56
5/1/1995,0.42
6/1/1995,0.45
7/1/1995,0.43
8/1/1995,0.51
9/1/1995,0.67
10/1/1995,0.81
11/1/1995,0.8
12/1/1995,1.95
1/1/1996,2.7
2/1/1996,1.02
3/1/1996,0.86
4/1/1996,0.39
5/1/1996,0.37
6/1/1996,0.34
7/1/1996,2.58
8/1/1996,7.08
9/1/1996,3.68
10/1/1996,1.89
11/1/1996,0.64
12/1/1996,0.52
1/1/1997,0.32
2/1/1997,0.49
3/1/1997,0.61
4/1/1997,0.44
5/1/1997,0.5
6/1/1997,2.01
7/1/1997,1.77
8/1/1997,5.62
9/1/1997,3.77
10/1/1997,1.59
11/1/1997,0.79
12/1/1997,0.47
1/1/1998,0.57
2/1/1998,0.42
3/1/1998,0.69
4/1/1998,0.67
5/1/1998,0.33
6/1/1998,1.14
7/1/1998,1.37
8/1/1998,0.63
9/1/1998,1.73
10/1/1998,1.63
11/1/1998,0.86
12/1/1998,0.43
1/1/1999,0.42
2/1/1999,0.34
3/1/1999,0.49
4/1/1999,2.22
5/1/1999,0.34
6/1/1999,0.98
7/1/1999,2.2
8/1/1999,3.4
9/1/1999,2.13
10/1/1999,0.96
11/1/1999,0.8
12/1/1999,0.44
1/1/2000,0.43
2/1/2000,0.51
3/1/2000,0.55
4/1/2000,0.45
5/1/2000,0.32
6/1/2000,0.39
7/1/2000,0.7
8/1/2000,3.2
